term,Count
the,221
hotel,201
booking,197
cancelled,177
and,147
for,79
but,53
booked,51
they,51
not,47
with,47
have,47
was,47
that,47
agoda,45
you,41
are,41
your,41
//t,39
now,39
has,37
hotels,35
had,35
https,35
from,33
been,33
flight,33
this,33
refund,31
when,23
pay,23
service,23
will,23
get,21
amount,19
without,19
room,19
please,17
oyo,17
just,17
paid,17
our,15
because,15
got,15
call,15
can,15
didn,15
till,15
customer,15
night,15
what,13
due,13
denied,13
anyone,13
help,13
saying,13
more,13
don,13
them,13
off,13
another,13
oyorooms,11
never,11
than,11
fraud,11
time,11
already,11
experience,11
book,11
airbnb,11
after,11
ever,11
through,11
last,11
stranded,9
good,9
all,9
some,9
horrible,9
different,9
money,9
before,9
any,9
staff,9
feb,9
having,9
only,9
2023,9
would,9
over,9
done,9
very,9
then,9
back,7
great,7
out,7
available,7
phuket,7
late,7
how,7
days,7
agodaindia,7
one,7
about,7
day,7
were,7
premierinn,7
other,7
flights,7
airport,7
change,7
oyo4u,7
check-in,7
garylineker,7
since,7
their,7
support,7
can\xd5t,7
date,7
promised,7
left,7
full,7
also,7
end,7
still,7
check,7
ago,5
here,5
manager,5
kind,5
points,5
made,5
a_webb,5
believe,5
year,5
india,5
issue,5
bad,5
work,5
first,5
asked,5
per,5
could,5
recieved,5
confirm,5
secrettory12,5
team,5
finally,5
who,5
replacement,5
price,5
two,5
same,5
want,5
company,5
hello,5
taken,5
gave,5
month,5
like,5
bookingcom,5
getting,5
she,5
train,5
being,5
informed,5
seat,5
denying,5
people,5
question,5
lot,5
better,5
system,5
journey,5
well,4
new,3
prices,3
reservations,3
_____,3
sent,3
via,3
say,3
make,3
ibis,3
which,3
does,3
dear,3
euros,3
totally,3
igi,3
against,3
hrs,3
stop,3
foreign,3
extra,3
situation,3
chek,3
accommodation,3
airbnbhelp,3
arrive,3
reservation,3
complaining,3
inform,3
mocking,3
contacted,3
must,3
lucky,3
her,3
business,3
terrible,3
holiday,3
allow,3
9/3,3
\n\nhttps,3
liverpool,3
tickets,3
fabhotels,3
where,3
checking,3
country,3
prior,3
did,3
absolute,3
rescheduled,3
i\xd5ve,3
plane,3
frustrating,3
yea,3
place,3
changing,3
worst,3
christmas,3
use,3
\nit,3
forever,3
know,3
home,3
confirmed,3
name,3
even,3
told,3
faith,3
around,3
2208257916,3
wife,3
don\xd5t,3
again,3
should,3
response,3
into,3
sort,3
stay,3
hours,3
his,3
completely,3
cancellation,3
may,3
receipt,3
schedule,3
relocation,3
agreed,3
always,3
dean_risley,3
mins,3
source,3
women,3
return,3
migrants,3
outward,3
infact,3
really,3
co/520a2byp2m,3
hope,3
nights,3
provided,3
marketing,3
asap,3
present,3
find,3
while,3
option,3
best,3
upset,3
next,3
advance,3
manage,3
initiated,3
co/ynqctqgplg,3
things,3
access,3
rebook,3
tories,3
easyjet,3
reception,3
discount,3
platform,3
1313,3
tried,3
guys,3
take,3
trauma,3
email,3
jan,3
rome,3
once,3
put,3
too,3
says,3
there,3
original,3
why,3
trip,3
ref,3
loss,3
staying,3
thought,3
online,3
let,3
entire,3
com,3
lastminute_com,3
flying,3
needs,3
illegal,3
ownership,3
10/3,3
hoping,3
little,2
understand,1
whether,1
sucked,1
express,1
secretly,1
accor,1
747*,1
won,1
5by,1
they\xd5re,1
cheaper,1
released,1
dealing,1
that\xcatime,1
co/zfs0s5xmi7,1
telling,1
shown,1
outlander,1
majorly,1
fun,1
however,1
space,1
months,1
helped,1
respond,1
saved,1
living,1
these,1
doing,1
held,1
kent,1
core,1
news,1
steampunk,1
fraudsters,1
tomorrows,1
arrival,1
budapest,1
fcking,1
policy,1
ezpz_val,1
resort,1
reaching,1
desired,1
world,1
clothes,1
airline,1
fair,1
leaving,1
arrived,1
moments,1
____,1
stupidly,1
vendors,1
cool,1
large,1
arrives,1
own,1
selling,1
fisherman,1
whos,1
amend,1
dozen,1
today,1
confirming,1
listening,1
goibibosupport,1
worse,1
cannot,1
co/tyxqji3jcd,1
contact,1
co/6gglwarr0v,1
corporate,1
ends,1
co/t45z85llbg,1
thrice,1
goodbye,1
leaves,1
resolution,1
shares,1
story,1
information,1
illegalimmigrants,1
shows,1
loaded,1
rate,1
harbour,1
pathetic,1
seem,1
compliments,1
nor,1
ripped,1
exclusive,1
245,1
side,1
incompetent,1
wanted,1
follow,1
confirmation,1
contributing,1
1/n,1
took,1
richer_frank,1
website,1
mentally,1
unfortunately,1
moking,1
collection,1
twice,1
loveholidays,1
less,1
reserved,1
pending,1
3rd,1
send,1
gartner_inc,1
comes,1
reimbursed,1
applied,1
hilton,1
yourself,1
concerns,1
co/xlciyh3wmd,1
______,1
thrones,1
sat,1
sweeping,1
ahead,1
announcement,1
give,1
critically,1
deltaassist_jp,1
contacting,1
worldwide,1
duty,1
throughout,1
identify,1
fuck,1
connecting,1
list,1
interfan,1
pointless,1
*03-mar-2023*,1
long,1
experiance,1
handmaiden,1
co/cjofjpach8,1
we\xd5re,1
enquiry,1
1129,1
openness,1
flagshipmajesticinn,1
kolkata,1
seems,1
upon,1
resting,1
inn,1
week,1
double,1
spanning,1
charm,1
brave,1
ruined,1
howirelandworks,1
accrete,1
inside,1
future,1
dollars,1
untill,1
office,1
center,1
keeps,1
browser,1
paying,1
hell,1
nocontextbrits,1
hey,1
\xa33,1
receive,1
technologies,1
outside,1
hubspot,1
unviable,1
actually,1
both,1
practice,1
three,1
third,1
five,1
checkin,1
advise,1
family,1
sleep,1
process,1
inept,1
improv,1
mind,1
thanks,1
sig,1
becoming,1
order,1
texted,1
streets,1
bookings,1
flyswoop,1
bringing,1
nh73231248407788,1
scam,1
bristol,1
non,1
host,1
emails,1
its,1
migrantsvtovreside,1
responding,1
areas,1
used,1
co/rhgqwzxsmb,1
night-unsurprisingly,1
currently,1
deal,1
\n*property,1
thousands,1
jesus,1
closing,1
times,1
provide,1
helps,1
fruition,1
ofpope,1
belts,1
kings,1
city,1
epic,1
so-,1
urgently,1
paris,1
plans,1
\nairbnb,1
co/091gfytcac,1
someone,1
explanation,1
manchester,1
dublinairport,1
champagne,1
unreliable,1
bit,1
said,1
*inr,1
mrbruhgfx,1
holidayglobe,1
-frankie,1
1243/=,1
oyolasvegas,1
policies,1
easy-to-use,1
happens,1
dvdpeters,1
charged,1
raised,1
eurostaruk,1
\n\nhere\xd5s,1
poorer,1
priced,1
aicoretechnologies,1
means,1
went,1
womenshistorymonth,1
kindly,1
leeds,1
expected,1
i\xd5ll,1
nothing,1
martindaubney,1
socialist,1
added,1
it\xcathey,1
901765781,1
eurostar,1
honors,1
invest,1
report,1
tomorrow,1
penalized,1
second,1
guest,1
airindiain,1
23rd,1
reason,1
down\xd3\xd1huffington,1
offered,1
parents,1
wtf,1
agoda\nstoryseychelles,1
wars,1
verify,1
\n\n\xd2you,1
apps,1
coolvendor,1
kinda,1
theatres,1
moonnkai,1
heartless,1
won\xd5t,1
migrant,1
sir,1
boycott,1
mbj,1
co/cfvlhelwih,1
experience\ndid,1
gone,1
masterpiece,1
posted,1
appreciate,1
immortal,1
alton,1
smart,1
17th,1
thankfully,1
transfer,1
games,1
tragedy,1
calls,1
co/i5ne7uo9fg,1
messages,1
accept,1
wasting,1
picking,1
hiltongrandvac,1
role,1
free,1
housing,1
consumerforum_,1
able,1
alternative,1
shankspapi,1
gofirstairways,1
lead,1
died,1
him,1
winning,1
cbarriefans,1
city*,1
ryanair,1
dean,1
tales,1
reached,1
notice,1
3372,1
anothe,1
near,1
twickets,1
manila-bali-,1
far,1
joshuaphilll,1
including,1
refugee,1
gmr_group,1
minute,1
bridgeecee,1
marriot,1
wth,1
901769189i,1
spot,1
sheer,1
3487,1
reasons,1
til,1
else,1
authorise,1
\xa3800,1
thing,1
returned,1
goibibo,1
travel,1
ready,1
phonepe,1
green,1
down,1
\n\nfind,1
birmingham,1
copy,1
sooo,1
manila,1
traction,1
londonmarathon,1
proof,1
person,1
turkey,1
complete,1
wjspdmx9m77g,1
post,1
arrange,1
visited,1
3xmore,1
luckily,1
penalty,1
metropolitan,1
advice,1
\xa3197,1
touch,1
yesterday,1
deff,1
asking,1
you\xd5ve,1
keep,1
projects,1
tweeter,1
\nworst,1
maintenance,1
topline\xa8,1
onceagain,1
ihgonerewards,1
looks,1
couldn,1
hopefully,1
compensation,1
rooms,1
incurred-,1
trying,1
think,1
mandsthompson,1
*refund*,1
plus,1
faster,1
post-surgery,1
none,1
legally,1
\nwe,1
wondrously,1
rest,1
photo,1
compile,1
joke,1
nowhere,1
generativeai,1
tools,1
dark,1
scamming,1
anymore,1
haldwani,1
charge,1
party,1
sport,1
providing,1
morning,1
looooong,1
delta,1
credited,1
awful,1
single,1
airasiafilipino,1
mess,1
science,1
called,1
food,1
renovation,1
i\xd5m,1
born,1
\noyorooms,1
\n\naccreteai,1
payment,1
incapable,1
entry,1
excellent,1
frank,1
fanmeet,1
written,1
half,1
ringing,1
act,1
worry,1
meaning,1
publicly,1
billkin,1
peace,1
came,1
complimentary,1
